package_name,declared_requirement,version,dependency_type,parent_dependency,ecosystem,cve_id,severity,cvss_score,epss,kev,fixed_version,published,imported_in_files,import_count,max_criticality,reachability_score,criticality_score,severity_score,exploitability_score,final_risk_score,risk_category
gunicorn,gunicorn==21.2.0,21.2.0,direct,,PyPI,GHSA-hc5x-x2vx-497g,Medium,,,False,,,[],0.0,1.0,2,2,5.0,3.0,34.0,Low
gunicorn,gunicorn==21.2.0,21.2.0,direct,,PyPI,GHSA-w3h3-4rj7-4ph4,Medium,,,False,,,[],0.0,1.0,2,2,5.0,3.0,34.0,Low
gunicorn,gunicorn==21.2.0,21.2.0,direct,,PyPI,PYSEC-2018-55,Medium,,,False,,,[],0.0,1.0,2,2,5.0,3.0,34.0,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-29vq-49wr-vm6x,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-2g68-c3qc-8985,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-3p3h-qghp-hvh2,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-87hc-h4r5-73f7,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-f9vj-2wh5-fj8j,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-gq9m-qvpx-68hc,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-h2fp-xgx6-xh6f,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-hgf8-39gv-g3f2,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-hrfv-mqp8-q5rw,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-j544-7q9p-6xp8,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-px8h-6qxv-m22q,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-q34m-jh98-gwm2,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,GHSA-xg9f-g7g7-2323,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2017-43,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2019-140,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2019-70,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2020-157,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2022-203,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2023-221,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2023-57,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
werkzeug,,2.2.3,transitive,flask,PyPI,PYSEC-2023-58,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-2xpw-w6gg-jr37,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-34jh-p97f-mpxf,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-38jv-5279-wg99,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-48p4-8xcf-vxj5,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-5phf-pp7p-vc2r,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-g4mx-q9vg-27p4,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-gm62-xv2j-4w53,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-gwvm-45gx-3cf8,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-hmv2-79q8-fv6g,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-mh33-7rrq-662w,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-pq67-6m6q-mj2v,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-q2q7-5pp4-w6pg,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-r64q-w8jr-g9qp,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-v4w5-p2hg-8fh6,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-v845-jxx5-vc9f,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-wqvq-5m8c-6g24,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
urllib3,,1.26.18,transitive,requests,PyPI,GHSA-www2-v7xj-xrc6,Medium,,,False,,,[],0.0,1.0,1,2,5.0,3.0,31.5,Low
